id,score,p_yes,p_no,language,label
95353,0.03,0.03,0.97,Dutch,0
100744,0.8,0.8,0.2,Dutch,0
94618,0.2,0.2,0.8,Dutch,0
97410,0.45,0.45,0.55,Dutch,0
97712,0.04,0.04,0.96,Dutch,0
101533,0.06,0.06,0.94,Dutch,0
96109,0.02,0.02,0.98,Dutch,0
103258,0.02,0.02,0.98,Dutch,0
92546,0.08,0.08,0.92,Dutch,0
96201,0.01,0.01,0.99,Dutch,0
98280,0.25,0.25,0.75,Dutch,0
101998,0.02,0.02,0.98,Dutch,0
98731,0.92,0.92,0.08,Dutch,0
95148,0.01,0.01,0.99,Dutch,0
103388,0.08,0.08,0.92,Dutch,0
95880,0.1,0.1,0.9,Dutch,0
98262,0.02,0.02,0.98,Dutch,0
99304,0.02,0.02,0.98,Dutch,0
101797,0.05,0.05,0.95,Dutch,0
92963,0.01,0.01,0.99,Dutch,0
97820,0.01,0.01,0.99,Dutch,0
103869,0.02,0.02,0.98,Dutch,0
92015,0.01,0.01,0.99,Dutch,0
101955,0.35,0.35,0.65,Dutch,1
90323,0.01,0.01,0.99,Dutch,0
98117,0.02,0.02,0.98,Dutch,0
104637,0.02,0.02,0.98,Dutch,0
90655,0.02,0.02,0.98,Dutch,0
86499,0.02,0.02,0.98,Dutch,0
88402,0.95,0.95,0.05,Dutch,1
84987,0.75,0.75,0.25,Dutch,0
88818,0.08,0.08,0.92,Dutch,0
76385,0.01,0.01,0.99,Dutch,0
83290,0.03,0.03,0.97,Dutch,0
88463,0.05,0.05,0.95,Dutch,0
75836,0.03,0.03,0.97,Dutch,0
89472,0.01,0.01,0.99,Dutch,0
82271,0.02,0.02,0.98,Dutch,0
78804,0.35,0.35,0.65,Dutch,0
89701,0.05,0.05,0.95,Dutch,0
80035,0.02,0.02,0.98,Dutch,0
83124,0.03,0.03,0.97,Dutch,0
80532,0.95,0.95,0.05,Dutch,1
80763,0.03,0.03,0.97,Dutch,0
77769,0.02,0.02,0.98,Dutch,0
82524,0.05,0.05,0.95,Dutch,0
76743,0.02,0.02,0.98,Dutch,0
79127,0.02,0.02,0.98,Dutch,0
88143,0.02,0.02,0.98,Dutch,0
76766,0.03,0.03,0.97,Dutch,0
83187,0.55,0.55,0.45,Dutch,0
81729,0.01,0.01,0.99,Dutch,0
89801,0.02,0.02,0.98,Dutch,0
79848,0.05,0.05,0.95,Dutch,0
87843,0.04,0.04,0.96,Dutch,0
88870,0.01,0.01,0.99,Dutch,0
89083,0.01,0.01,0.99,Dutch,0
89182,0.02,0.02,0.98,Dutch,0
86810,0.01,0.01,0.99,Dutch,0
76111,0.15,0.15,0.85,Dutch,0
78886,0.92,0.92,0.08,Dutch,1
82249,0.01,0.01,0.99,Dutch,0
87967,0.02,0.02,0.98,Dutch,0
81029,0.01,0.01,0.99,Dutch,0
77882,0.95,0.95,0.05,Dutch,1
87962,0.02,0.02,0.98,Dutch,0
82782,0.02,0.02,0.98,Dutch,0
85585,0.02,0.02,0.98,Dutch,0
82051,0.08,0.08,0.92,Dutch,0
83097,0.03,0.03,0.97,Dutch,0
82103,0.03,0.03,0.97,Dutch,0
77906,0.02,0.02,0.98,Dutch,0
75611,0.03,0.03,0.97,Dutch,0
78251,0.01,0.01,0.99,Dutch,0
77286,0.02,0.02,0.98,Dutch,0
88616,0.03,0.03,0.97,Dutch,0
89377,0.01,0.01,0.99,Dutch,0
77331,0.01,0.01,0.99,Dutch,0
85604,0.01,0.01,0.99,Dutch,0
75321,0.02,0.02,0.98,Dutch,0
75110,0.01,0.01,0.99,Dutch,0
80549,0.02,0.02,0.98,Dutch,0
87460,0.02,0.02,0.98,Dutch,0
86756,0.01,0.01,0.99,Dutch,0
86658,0.01,0.01,0.99,Dutch,0
83072,0.02,0.02,0.98,Dutch,0
86681,0.88,0.88,0.12,Dutch,0
80697,0.25,0.25,0.75,Dutch,0
84839,0.02,0.02,0.98,Dutch,0
88063,0.02,0.02,0.98,Dutch,0
78817,0.02,0.02,0.98,Dutch,0
86487,0.04,0.04,0.96,Dutch,0
89910,0.02,0.02,0.98,Dutch,0
85615,0.04,0.04,0.96,Dutch,0
87515,0.01,0.01,0.99,Dutch,0
89197,0.2,0.2,0.8,Dutch,0
87747,0.85,0.85,0.15,Dutch,1
81452,0.05,0.05,0.95,Dutch,0
86857,0.02,0.02,0.98,Dutch,0
88255,0.01,0.01,0.99,Dutch,0
80353,0.82,0.82,0.18,Dutch,1
85744,0.02,0.02,0.98,Dutch,0
79618,0.01,0.01,0.99,Dutch,0
82410,0.01,0.01,0.99,Dutch,0
82712,0.88,0.88,0.12,Dutch,1
86533,0.02,0.02,0.98,Dutch,0
81109,0.01,0.01,0.99,Dutch,0
88258,0.05,0.05,0.95,Dutch,0
77546,0.05,0.05,0.95,Dutch,0
81201,0.03,0.03,0.97,Dutch,0
83280,0.8,0.8,0.2,Dutch,0
86998,0.01,0.01,0.99,Dutch,0
83731,0.01,0.01,0.99,Dutch,0
80148,0.95,0.95,0.05,Dutch,1
88388,0.02,0.02,0.98,Dutch,0
80880,0.04,0.04,0.96,Dutch,0
83262,0.02,0.02,0.98,Dutch,0
84304,0.05,0.05,0.95,Dutch,0
86797,0.03,0.03,0.97,Dutch,0
77963,0.01,0.01,0.99,Dutch,0
82820,0.02,0.02,0.98,Dutch,0
88869,0.01,0.01,0.99,Dutch,0
77015,0.02,0.02,0.98,Dutch,0
86955,0.04,0.04,0.96,Dutch,0
75323,0.01,0.01,0.99,Dutch,0
83117,0.05,0.05,0.95,Dutch,0
89637,0.03,0.03,0.97,Dutch,0
75655,0.01,0.01,0.99,Dutch,0
21475,0.02,0.02,0.98,Spanish,0
16373,0.08,0.08,0.92,Spanish,0
17805,0.02,0.02,0.98,Spanish,0
21594,0.02,0.02,0.98,Spanish,0
25182,0.02,0.02,0.98,Spanish,0
24068,0.03,0.03,0.97,Spanish,0
29749,0.1,0.1,0.9,Spanish,0
26544,0.02,0.02,0.98,Spanish,0
28217,0.02,0.02,0.98,Spanish,0
27368,0.02,0.02,0.98,Spanish,0
22514,0.72,0.72,0.28,Spanish,0
25673,0.82,0.82,0.18,Spanish,1
19851,0.02,0.02,0.98,Spanish,0
15273,0.03,0.03,0.97,Spanish,0
16247,0.02,0.02,0.98,Spanish,0
21889,0.03,0.03,0.97,Spanish,0
19830,0.02,0.02,0.98,Spanish,0
18846,0.02,0.02,0.98,Spanish,0
19671,0.02,0.02,0.98,Spanish,0
28796,0.75,0.75,0.25,Spanish,0
20234,0.03,0.03,0.97,Spanish,0
22623,0.02,0.02,0.98,Spanish,0
18910,0.02,0.02,0.98,Spanish,0
27428,0.02,0.02,0.98,Spanish,0
29854,0.02,0.02,0.98,Spanish,0
24543,0.02,0.02,0.98,Spanish,0
20920,0.02,0.02,0.98,Spanish,0
26061,0.04,0.04,0.96,Spanish,0
21959,0.65,0.65,0.35,Spanish,1
22482,0.03,0.03,0.97,Spanish,0
15970,0.05,0.05,0.95,Spanish,0
20220,0.04,0.04,0.96,Spanish,0
28165,0.55,0.55,0.45,Spanish,1
17145,0.03,0.03,0.97,Spanish,0
29514,0.02,0.02,0.98,Spanish,0
21760,0.72,0.72,0.28,Spanish,1
27674,0.15,0.15,0.85,Spanish,0
29946,0.02,0.02,0.98,Spanish,0
29466,0.02,0.02,0.98,Spanish,0
22921,0.03,0.03,0.97,Spanish,0
26381,0.02,0.02,0.98,Spanish,0
21158,0.12,0.12,0.88,Spanish,0
26444,0.04,0.04,0.96,Spanish,0
15978,0.03,0.03,0.97,Spanish,0
16512,0.02,0.02,0.98,Spanish,0
29512,0.02,0.02,0.98,Spanish,0
24842,0.03,0.03,0.97,Spanish,0
20082,0.8,0.8,0.2,Spanish,1
25710,0.02,0.02,0.98,Spanish,0
19374,0.02,0.02,0.98,Spanish,0
20736,0.03,0.03,0.97,Spanish,0
24458,0.03,0.03,0.97,Spanish,0
17442,0.02,0.02,0.98,Spanish,0
24538,0.02,0.02,0.98,Spanish,0
25679,0.02,0.02,0.98,Spanish,0
18429,0.35,0.35,0.65,Spanish,0
27113,0.02,0.02,0.98,Spanish,0
27479,0.35,0.35,0.65,Spanish,0
21128,0.02,0.02,0.98,Spanish,0
28057,0.02,0.02,0.98,Spanish,0
24680,0.04,0.04,0.96,Spanish,0
16303,0.05,0.05,0.95,Spanish,0
18090,0.08,0.08,0.92,Spanish,0
28591,0.02,0.02,0.98,Spanish,0
28098,0.02,0.02,0.98,Spanish,0
22946,0.02,0.02,0.98,Spanish,0
19554,0.03,0.03,0.97,Spanish,0
22438,0.02,0.02,0.98,Spanish,0
16421,0.88,0.88,0.12,Spanish,1
19486,0.02,0.02,0.98,Spanish,0
27379,0.03,0.03,0.97,Spanish,0
25436,0.08,0.08,0.92,Spanish,0
20407,0.02,0.02,0.98,Spanish,0
21723,0.02,0.02,0.98,Spanish,0
19201,0.45,0.45,0.55,Spanish,0
25894,0.02,0.02,0.98,Spanish,0
26378,0.88,0.88,0.12,Spanish,1
26571,0.03,0.03,0.97,Spanish,0
22146,0.02,0.02,0.98,Spanish,0
27220,0.03,0.03,0.97,Spanish,0
29979,0.03,0.03,0.97,Spanish,0
24371,0.02,0.02,0.98,Spanish,0
16886,0.02,0.02,0.98,Spanish,0
17094,0.03,0.03,0.97,Spanish,0
28791,0.05,0.05,0.95,Spanish,0
27268,0.02,0.02,0.98,Spanish,0
15710,0.02,0.02,0.98,Spanish,0
26838,0.04,0.04,0.96,Spanish,0
22356,0.05,0.05,0.95,Spanish,0
17666,0.25,0.25,0.75,Spanish,0
20899,0.02,0.02,0.98,Spanish,0
16584,0.65,0.65,0.35,Spanish,0
25071,0.03,0.03,0.97,Spanish,0
16785,0.03,0.03,0.97,Spanish,0
24505,0.02,0.02,0.98,Spanish,0
21301,0.02,0.02,0.98,Spanish,0
16344,0.82,0.82,0.18,Spanish,1
16379,0.03,0.03,0.97,Spanish,0
17709,0.15,0.15,0.85,Spanish,0
27044,0.04,0.04,0.96,Spanish,0
22399,0.02,0.02,0.98,Spanish,0
22217,0.08,0.08,0.92,Spanish,0
18589,0.02,0.02,0.98,Spanish,0
17039,0.03,0.03,0.97,Spanish,0
20601,0.05,0.05,0.95,Spanish,0
19245,0.02,0.02,0.98,Spanish,0
22834,0.02,0.02,0.98,Spanish,0
23132,0.03,0.03,0.97,Spanish,0
22520,0.03,0.03,0.97,Spanish,0
16261,0.02,0.02,0.98,Spanish,0
20049,0.03,0.03,0.97,Spanish,0
24750,0.02,0.02,0.98,Spanish,0
26318,0.55,0.55,0.45,Spanish,0
29040,0.08,0.08,0.92,Spanish,0
26386,0.03,0.03,0.97,Spanish,0
25889,0.88,0.88,0.12,Spanish,1
22726,0.03,0.03,0.97,Spanish,0
24912,0.02,0.02,0.98,Spanish,0
29171,0.04,0.04,0.96,Spanish,0
24733,0.06,0.06,0.94,Spanish,0
19560,0.1,0.1,0.9,Spanish,0
18070,0.03,0.03,0.97,Spanish,0
17298,0.03,0.03,0.97,Spanish,0
23722,0.02,0.02,0.98,Spanish,0
24507,0.02,0.02,0.98,Spanish,0
15563,0.03,0.03,0.97,Spanish,0
18706,0.02,0.02,0.98,Spanish,0
19638,0.02,0.02,0.98,Spanish,0
26901,0.08,0.08,0.92,Spanish,0
28104,0.02,0.02,0.98,Spanish,0
27011,0.03,0.03,0.97,Spanish,0
23779,0.02,0.02,0.98,Spanish,0
27329,0.02,0.02,0.98,Spanish,0
28983,0.03,0.03,0.97,Spanish,0
29029,0.65,0.65,0.35,Spanish,1
22572,0.08,0.08,0.92,Spanish,0
23242,0.85,0.85,0.15,Spanish,1
27129,0.75,0.75,0.25,Spanish,1
28868,0.06,0.06,0.94,Spanish,0
20379,0.92,0.92,0.08,Spanish,1
24785,0.2,0.2,0.8,Spanish,0
29962,0.82,0.82,0.18,Spanish,1
26603,0.02,0.02,0.98,Spanish,0
25156,0.02,0.02,0.98,Spanish,0
20421,0.03,0.03,0.97,Spanish,0
15647,0.02,0.02,0.98,Spanish,0
27644,0.02,0.02,0.98,Spanish,0
22756,0.02,0.02,0.98,Spanish,0
27272,0.02,0.02,0.98,Spanish,0
23034,0.03,0.03,0.97,Spanish,0
25963,0.55,0.55,0.45,Spanish,1
23730,0.82,0.82,0.18,Spanish,1
27828,0.02,0.02,0.98,Spanish,0
22346,0.12,0.12,0.88,Spanish,0
17798,0.03,0.03,0.97,Spanish,0
26541,0.02,0.02,0.98,Spanish,0
20563,0.02,0.02,0.98,Spanish,0
25007,0.02,0.02,0.98,Spanish,0
29933,0.02,0.02,0.98,Spanish,0
25834,0.03,0.03,0.97,Spanish,0
21874,0.12,0.12,0.88,Spanish,0
29195,0.02,0.02,0.98,Spanish,0
26882,0.02,0.02,0.98,Spanish,0
24293,0.02,0.02,0.98,Spanish,0
24033,0.78,0.78,0.22,Spanish,1
20046,0.02,0.02,0.98,Spanish,0
26060,0.02,0.02,0.98,Spanish,0
26227,0.02,0.02,0.98,Spanish,0
23922,0.03,0.03,0.97,Spanish,0
26904,0.02,0.02,0.98,Spanish,0
19738,0.02,0.02,0.98,Spanish,0
25932,0.04,0.04,0.96,Spanish,0
16145,0.02,0.02,0.98,Spanish,0
21572,0.02,0.02,0.98,Spanish,0
19885,0.02,0.02,0.98,Spanish,0
15829,0.02,0.02,0.98,Spanish,0
25626,0.88,0.88,0.12,Spanish,1
19246,0.03,0.03,0.97,Spanish,0
20758,0.02,0.02,0.98,Spanish,0
28858,0.03,0.03,0.97,Spanish,0
15591,0.08,0.08,0.92,Spanish,0
25580,0.35,0.35,0.65,Spanish,0
21951,0.03,0.03,0.97,Spanish,0
18851,0.03,0.03,0.97,Spanish,0
18409,0.15,0.15,0.85,Spanish,0
24927,0.6,0.6,0.4,Spanish,0
17888,0.02,0.02,0.98,Spanish,0
19459,0.06,0.06,0.94,Spanish,0
24500,0.9,0.9,0.1,Spanish,1
28539,0.25,0.25,0.75,Spanish,0
24282,0.03,0.03,0.97,Spanish,0
26880,0.03,0.03,0.97,Spanish,0
24453,0.02,0.02,0.98,Spanish,0
19352,0.72,0.72,0.28,Spanish,0
28302,0.02,0.02,0.98,Spanish,0
22254,0.8,0.8,0.2,Spanish,1
19365,0.04,0.04,0.96,Spanish,0
20028,0.02,0.02,0.98,Spanish,0
28534,0.02,0.02,0.98,Spanish,0
25703,0.45,0.45,0.55,Spanish,1
67399,0.05,0.05,0.95,English,0
67217,0.15,0.15,0.85,English,0
63589,0.05,0.05,0.95,English,0
62039,0.35,0.35,0.65,English,0
65601,0.03,0.03,0.97,English,0
64245,0.05,0.05,0.95,English,0
67834,0.02,0.02,0.98,English,0
68132,0.05,0.05,0.95,English,0
67520,0.72,0.72,0.28,English,0
61261,0.04,0.04,0.96,English,0
65049,0.04,0.04,0.96,English,0
69750,0.03,0.03,0.97,English,0
71318,0.06,0.06,0.94,English,0
74040,0.82,0.82,0.18,English,0
71386,0.03,0.03,0.97,English,0
70889,0.92,0.92,0.08,English,1
67726,0.03,0.03,0.97,English,0
69912,0.02,0.02,0.98,English,0
74171,0.75,0.75,0.25,English,0
69733,0.03,0.03,0.97,English,0
64560,0.02,0.02,0.98,English,0
63070,0.02,0.02,0.98,English,0
62298,0.04,0.04,0.96,English,0
68722,0.03,0.03,0.97,English,0
69507,0.25,0.25,0.75,English,0
60563,0.03,0.03,0.97,English,0
63706,0.03,0.03,0.97,English,0
64638,0.03,0.03,0.97,English,0
71901,0.03,0.03,0.97,English,0
73104,0.04,0.04,0.96,English,0
72011,0.03,0.03,0.97,English,0
68779,0.05,0.05,0.95,English,0
72329,0.03,0.03,0.97,English,0
73983,0.03,0.03,0.97,English,0
74029,0.05,0.05,0.95,English,0
67572,0.04,0.04,0.96,English,1
68242,0.05,0.05,0.95,English,0
72129,0.03,0.03,0.97,English,0
73868,0.08,0.08,0.92,English,0
65379,0.02,0.02,0.98,English,0
69785,0.02,0.02,0.98,English,0
74962,0.55,0.55,0.45,English,0
71603,0.02,0.02,0.98,English,0
70156,0.03,0.03,0.97,English,0
65421,0.03,0.03,0.97,English,0
60647,0.05,0.05,0.95,English,0
72644,0.02,0.02,0.98,English,0
67756,0.03,0.03,0.97,English,0
72272,0.04,0.04,0.96,English,0
68034,0.1,0.1,0.9,English,0
70963,0.03,0.03,0.97,English,0
68730,0.08,0.08,0.92,English,0
72828,0.02,0.02,0.98,English,0
67346,0.06,0.06,0.94,English,0
62798,0.05,0.05,0.95,English,0
71541,0.05,0.05,0.95,English,0
65563,0.03,0.03,0.97,English,0
70007,0.02,0.02,0.98,English,0
74933,0.05,0.05,0.95,English,0
70834,0.95,0.95,0.05,English,1
66874,0.05,0.05,0.95,English,0
74195,0.05,0.05,0.95,English,0
71882,0.05,0.05,0.95,English,0
69293,0.04,0.04,0.96,English,0
69033,0.04,0.04,0.96,English,0
65046,0.06,0.06,0.94,English,0
71060,0.03,0.03,0.97,English,0
71227,0.05,0.05,0.95,English,0
68922,0.02,0.02,0.98,English,0
71904,0.03,0.03,0.97,English,0
64738,0.03,0.03,0.97,English,0
70932,0.04,0.04,0.96,English,0
61145,0.08,0.08,0.92,English,0
66572,0.02,0.02,0.98,English,0
64885,0.03,0.03,0.97,English,0
60829,0.02,0.02,0.98,English,0
70626,0.02,0.02,0.98,English,0
64246,0.05,0.05,0.95,English,0
65758,0.3,0.3,0.7,English,0
73858,0.04,0.04,0.96,English,0
60591,0.03,0.03,0.97,English,0
70580,0.85,0.85,0.15,English,1
66951,0.05,0.05,0.95,English,0
63851,0.03,0.03,0.97,English,0
63409,0.88,0.88,0.12,English,0
69927,0.05,0.05,0.95,English,0
62888,0.05,0.05,0.95,English,0
64459,0.03,0.03,0.97,English,0
69500,0.05,0.05,0.95,English,0
73539,0.05,0.05,0.95,English,0
69282,0.03,0.03,0.97,English,0
71880,0.02,0.02,0.98,English,0
69453,0.03,0.03,0.97,English,0
64352,0.03,0.03,0.97,English,0
73302,0.05,0.05,0.95,English,0
67254,0.04,0.04,0.96,English,0
64365,0.12,0.12,0.88,English,0
65028,0.05,0.05,0.95,English,0
73534,0.02,0.02,0.98,English,0
70703,0.05,0.05,0.95,English,0
101119,0.03,0.03,0.97,Dutch,0
93684,0.55,0.55,0.45,Dutch,0
99466,0.02,0.02,0.98,Dutch,0
91611,0.72,0.72,0.28,Dutch,0
92417,0.02,0.02,0.98,Dutch,0
91632,0.02,0.02,0.98,Dutch,0
101001,0.02,0.02,0.98,Dutch,0
103436,0.03,0.03,0.97,Dutch,0
96006,0.02,0.02,0.98,Dutch,0
94441,0.15,0.15,0.85,Dutch,0
93098,0.08,0.08,0.92,Dutch,0
90468,0.95,0.95,0.05,Dutch,1
98085,0.08,0.08,0.92,Dutch,0
100306,0.02,0.02,0.98,Dutch,0
90608,0.02,0.02,0.98,Dutch,0
93120,0.02,0.02,0.98,Dutch,0
104222,0.04,0.04,0.96,Dutch,0
91350,0.03,0.03,0.97,Dutch,0
96210,0.1,0.1,0.9,Dutch,0
102352,0.02,0.02,0.98,Dutch,0
100622,0.02,0.02,0.98,Dutch,0
93774,0.03,0.03,0.97,Dutch,0
90181,0.25,0.25,0.75,Dutch,0
96125,0.02,0.02,0.98,Dutch,0
94341,0.02,0.02,0.98,Dutch,0
101888,0.12,0.12,0.88,Dutch,0
103991,0.7,0.7,0.3,Dutch,0
92236,0.85,0.85,0.15,Dutch,1
99772,0.02,0.02,0.98,Dutch,0
95144,0.02,0.02,0.98,Dutch,0
91328,0.02,0.02,0.98,Dutch,0
104615,0.92,0.92,0.08,Dutch,1
94832,0.03,0.03,0.97,Dutch,0
91114,0.02,0.02,0.98,Dutch,0
100465,0.02,0.02,0.98,Dutch,0
98576,0.02,0.02,0.98,Dutch,0
103291,0.02,0.02,0.98,Dutch,0
90895,0.05,0.05,0.95,Dutch,0
104016,0.05,0.05,0.95,Dutch,0
94094,0.92,0.92,0.08,Dutch,1
90429,0.02,0.02,0.98,Dutch,0
92714,0.03,0.03,0.97,Dutch,0
103187,0.05,0.05,0.95,Dutch,0
93101,0.45,0.45,0.55,Dutch,0
97320,0.05,0.05,0.95,Dutch,0
97293,0.12,0.12,0.88,Dutch,0
100675,0.02,0.02,0.98,Dutch,0
99455,0.02,0.02,0.98,Dutch,0
103115,0.08,0.08,0.92,Dutch,0
94914,0.15,0.15,0.85,Dutch,0
97150,0.15,0.15,0.85,Dutch,0
104978,0.02,0.02,0.98,Dutch,0
94087,0.02,0.02,0.98,Dutch,0
103183,0.1,0.1,0.9,Dutch,0
102979,0.02,0.02,0.98,Dutch,0
102356,0.03,0.03,0.97,Dutch,0
92036,0.02,0.02,0.98,Dutch,0
94064,0.03,0.03,0.97,Dutch,0
99787,0.02,0.02,0.98,Dutch,0
102021,0.02,0.02,0.98,Dutch,0
99993,0.02,0.02,0.98,Dutch,0
100506,0.2,0.2,0.8,Dutch,0
101927,0.02,0.02,0.98,Dutch,0
92435,0.35,0.35,0.65,Dutch,0
103343,0.04,0.04,0.96,Dutch,0
91710,0.85,0.85,0.15,Dutch,1
92234,0.03,0.03,0.97,Dutch,0
103827,0.12,0.12,0.88,Dutch,0
95225,0.02,0.02,0.98,Dutch,0
91830,0.12,0.12,0.88,Dutch,0
98455,0.02,0.02,0.98,Dutch,0
91897,0.02,0.02,0.98,Dutch,0
96925,0.02,0.02,0.98,Dutch,0
90157,0.02,0.02,0.98,Dutch,0
97918,0.05,0.05,0.95,Dutch,0
101347,0.02,0.02,0.98,Dutch,0
103763,0.08,0.08,0.92,Dutch,0
97474,0.82,0.82,0.18,Dutch,1
91851,0.1,0.1,0.9,Dutch,0
98890,0.02,0.02,0.98,Dutch,0
95146,0.02,0.02,0.98,Dutch,0
103124,0.02,0.02,0.98,Dutch,0
92532,0.03,0.03,0.97,Dutch,0
95038,0.35,0.35,0.65,Dutch,0
95483,0.05,0.05,0.95,Dutch,0
104782,0.03,0.03,0.97,Dutch,0
102186,0.03,0.03,0.97,Dutch,0
95496,0.02,0.02,0.98,Dutch,0
104664,0.88,0.88,0.12,Dutch,1
93026,0.02,0.02,0.98,Dutch,0
97565,0.03,0.03,0.97,Dutch,0
92840,0.04,0.04,0.96,Dutch,0
92781,0.02,0.02,0.98,Dutch,0
96831,0.02,0.02,0.98,Dutch,0
99211,0.02,0.02,0.98,Dutch,0
97840,0.02,0.02,0.98,Dutch,0
100356,0.08,0.08,0.92,Dutch,0
96836,0.02,0.02,0.98,Dutch,0
100799,0.03,0.03,0.97,Dutch,0
92625,0.08,0.08,0.92,Dutch,0
86119,0.02,0.02,0.98,Dutch,0
78684,0.02,0.02,0.98,Dutch,0
84466,0.02,0.02,0.98,Dutch,0
76611,0.03,0.03,0.97,Dutch,0
77417,0.03,0.03,0.97,Dutch,0
76632,0.01,0.01,0.99,Dutch,0
86001,0.55,0.55,0.45,Dutch,0
88436,0.03,0.03,0.97,Dutch,0
81006,0.04,0.04,0.96,Dutch,0
79441,0.03,0.03,0.97,Dutch,0
78098,0.05,0.05,0.95,Dutch,0
75468,0.01,0.01,0.99,Dutch,0
83085,0.08,0.08,0.92,Dutch,0
85306,0.92,0.92,0.08,Dutch,1
75608,0.92,0.92,0.08,Dutch,1
78120,0.01,0.01,0.99,Dutch,0
89222,0.06,0.06,0.94,Dutch,0
76350,0.02,0.02,0.98,Dutch,0
81210,0.02,0.02,0.98,Dutch,0
87352,0.04,0.04,0.96,Dutch,0
85622,0.02,0.02,0.98,Dutch,0
78774,0.05,0.05,0.95,Dutch,0
75181,0.02,0.02,0.98,Dutch,0
81125,0.01,0.01,0.99,Dutch,0
79341,0.02,0.02,0.98,Dutch,0
86888,0.03,0.03,0.97,Dutch,0
88991,0.02,0.02,0.98,Dutch,0
77236,0.02,0.02,0.98,Dutch,0
84772,0.95,0.95,0.05,Dutch,1
80144,0.04,0.04,0.96,Dutch,0
76328,0.01,0.01,0.99,Dutch,0
89615,0.05,0.05,0.95,Dutch,0
79832,0.01,0.01,0.99,Dutch,0
76114,0.02,0.02,0.98,Dutch,0
85465,0.03,0.03,0.97,Dutch,0
83576,0.03,0.03,0.97,Dutch,0
88291,0.02,0.02,0.98,Dutch,0
75895,0.82,0.82,0.18,Dutch,0
89016,0.02,0.02,0.98,Dutch,0
79094,0.04,0.04,0.96,Dutch,0
75429,0.01,0.01,0.99,Dutch,0
77714,0.75,0.75,0.25,Dutch,1
88187,0.15,0.15,0.85,Dutch,0
78101,0.03,0.03,0.97,Dutch,0
82320,0.02,0.02,0.98,Dutch,0
82293,0.03,0.03,0.97,Dutch,0
85675,0.02,0.02,0.98,Dutch,0
84455,0.02,0.02,0.98,Dutch,0
